1	99.333333	78.333333	0.051857	99.666667
3	99.666667	50.000000	0.057312	99.166667
5	100.000000	42.666667	0.049038	98.666667
7	99.833333	37.000000	0.049603	99.000000
9	99.666667	27.333333	0.056279	99.333333
11	100.000000	24.166667	0.052072	99.666667
13	99.500000	21.000000	0.053383	99.833333
15	99.833333	16.500000	0.051302	99.500000
17	99.166667	16.166667	0.056826	99.166667
19	100.000000	13.833333	0.056463	99.333333
21	99.500000	16.500000	0.052697	99.500000
23	99.833333	14.166667	0.053252	99.500000
25	99.333333	13.166667	0.051918	99.833333
27	99.666667	15.500000	0.051228	99.500000
29	99.500000	13.500000	0.056300	100.000000
31	99.666667	11.500000	0.052190	99.833333
33	99.333333	13.666667	0.057106	99.500000
35	99.833333	13.166667	0.054268	99.666667
37	99.666667	14.000000	0.054054	99.833333
39	98.500000	13.666667	0.082452	98.166667
41	96.666667	10.833333	0.081479	95.833333
43	93.333333	6.833333	0.072512	92.333333
45	93.500000	11.833333	0.081139	93.500000
47	92.333333	8.500000	0.080519	93.000000
49	93.500000	9.833333	0.080502	94.166667
51	94.500000	8.833333	0.082443	94.000000
53	93.333333	13.000000	0.077385	86.666667
55	80.666667	8.500000	0.070913	82.833333
57	79.666667	9.166667	0.078974	84.500000
59	79.166667	10.000000	0.066013	80.833333
61	80.500000	9.000000	0.085681	82.500000
63	84.166667	11.166667	0.079167	82.666667
65	80.333333	9.333333	0.084061	79.833333
67	78.166667	9.833333	0.079173	81.333333
69	79.666667	9.166667	0.073187	80.333333
71	79.833333	7.833333	0.074193	80.833333
73	79.166667	9.500000	0.078540	83.000000
75	81.333333	13.166667	0.080458	83.000000
77	82.333333	8.000000	0.065478	81.500000
79	83.666667	9.833333	0.064693	82.333333
81	83.333333	8.333333	0.069261	82.500000
83	86.000000	9.333333	0.074054	83.333333
85	81.333333	8.500000	0.071254	86.833333
87	83.833333	6.500000	0.070722	82.666667
89	82.166667	7.833333	0.069607	80.500000
91	80.000000	8.833333	0.066656	80.833333
93	79.500000	8.666667	0.068537	78.500000
95	76.000000	6.333333	0.068771	80.333333
97	80.166667	7.333333	0.065167	81.333333
99	78.833333	6.500000	0.063928	78.666667
101	78.666667	8.166667	0.063448	75.666667
103	77.833333	6.833333	0.067128	77.833333
105	76.666667	5.333333	0.073132	78.500000
107	76.000000	6.500000	0.060958	76.500000
109	77.000000	5.666667	0.051685	72.500000
111	76.000000	4.500000	0.056462	73.166667
113	71.333333	7.666667	0.065313	75.166667
115	71.000000	4.000000	0.059064	70.666667
117	74.000000	4.000000	0.061670	71.666667
119	71.833333	8.000000	0.061145	72.166667
121	71.000000	5.500000	0.062766	73.166667
123	68.666667	5.000000	0.058041	72.333333
125	70.000000	3.500000	0.056279	68.166667
127	73.000000	6.666667	0.051355	66.666667
129	68.333333	7.000000	0.057533	72.166667
131	71.500000	5.333333	0.057692	70.666667
133	65.333333	5.666667	0.058410	69.833333
135	65.166667	4.166667	0.055852	66.333333
137	67.166667	4.333333	0.059726	69.000000
139	68.833333	5.166667	0.057958	69.666667
141	71.333333	6.000000	0.058264	68.500000
143	68.500000	5.500000	0.056687	69.500000
145	66.666667	5.833333	0.049505	62.333333
147	68.333333	6.333333	0.056840	67.500000
149	67.000000	7.666667	0.051573	64.500000
151	68.666667	2.833333	0.052022	65.333333
153	70.833333	5.666667	0.055486	68.000000
155	64.000000	6.000000	0.052362	65.666667
157	67.166667	4.666667	0.051499	63.833333
159	61.833333	9.166667	0.061573	70.166667
161	63.833333	4.500000	0.050468	63.000000
163	63.833333	3.000000	0.047314	64.833333
165	66.833333	5.500000	0.050311	65.000000
167	63.666667	5.833333	0.050693	62.333333
169	61.166667	4.000000	0.051955	66.000000
171	66.833333	4.000000	0.052959	66.000000
173	63.500000	6.166667	0.053622	65.000000
175	64.333333	8.333333	0.054202	62.833333
177	63.666667	5.500000	0.057055	64.666667
179	60.833333	5.166667	0.054700	64.000000
181	63.833333	5.500000	0.061698	66.000000
183	60.500000	6.166667	0.048914	61.666667
185	64.000000	5.333333	0.061173	65.833333
187	63.833333	4.000000	0.055994	66.166667
189	63.500000	6.166667	0.053789	62.166667
191	66.666667	4.833333	0.060981	70.166667
193	65.333333	4.333333	0.044091	66.500000
195	70.166667	5.333333	0.049251	67.833333
197	67.500000	3.666667	0.048421	67.833333
199	68.166667	5.500000	0.046125	68.833333
201	70.666667	4.166667	0.047444	69.500000
203	65.500000	4.000000	0.053171	59.166667
205	57.500000	3.333333	0.048992	59.333333
207	52.000000	3.833333	0.042275	55.500000
209	54.833333	5.000000	0.038376	54.666667
211	54.333333	2.833333	0.041070	53.500000
213	55.833333	4.500000	0.041709	54.666667
215	53.333333	3.333333	0.034717	51.333333
217	56.833333	3.666667	0.040200	52.500000
219	49.666667	3.666667	0.041846	51.833333
221	57.333333	5.666667	0.047685	56.166667
223	52.166667	4.000000	0.042204	54.333333
225	53.500000	3.166667	0.034905	49.333333
227	50.500000	4.500000	0.039615	51.833333
229	55.166667	3.833333	0.042223	51.833333
231	55.166667	3.166667	0.039417	52.333333
233	50.833333	4.333333	0.048164	59.333333
235	52.000000	5.000000	0.044100	51.666667
237	52.166667	4.500000	0.037455	50.833333
239	49.500000	3.166667	0.047637	53.333333
241	52.166667	2.500000	0.048683	54.166667
243	51.500000	7.166667	0.042296	52.500000
245	54.166667	3.666667	0.036660	52.333333
247	50.666667	3.333333	0.040812	52.333333
249	55.333333	3.833333	0.035390	50.166667
251	54.333333	4.166667	0.045379	56.333333
253	51.666667	3.333333	0.040005	51.833333
